sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Microperoryctes_ornatus|Microperoryctes|Ornoryctes|ornatus|_M. o. magnus_ (Laurie, 1952); _M. o. ornatus_ (Thomas, 1904)|Perameles ornata
Isoodon_auratus|Isoodon|NA|auratus|_I. a. arnhemensis_ Lyne & Mort, 1981; _I. a. auratus_ (Ramsay, 1887); _I. a. barrowensis_ (Thomas, 1901)|Perameles auratus
Isoodon_macrourus|Isoodon|NA|macrourus|_I. m. macrourus_ (Gould, 1842) (synonyms: _wombeyensis_ (Broom, 1896)); _I. m. moresbyensis_ (Ramsay, 1877); _I. m. torosus_ (Ramsay, 1877)|Perameles macroura
Isoodon_obesulus|Isoodon|NA|obesulus|_I. o. affinis_ (Waterhouse, 1846); _I. o. nauticus_ Thomas, 1922; _I. o. obesulus_ (Shaw, 1797)|Didelphis obesula
Peroryctes_raffrayanus|Peroryctes|NA|raffrayanus|_P. r. raffrayanus_ (Milne-Edwards, 1878); _P. r. rothschildi_ (Förster, 1913)|Perameles Raffrayana
Macrotis_lagotis|Macrotis|NA|lagotis|_M. l. cambricus_ Troughton, 1932; _M. l. grandis_ Troughton, 1932; _M. l. interjectus_ Troughton, 1932; _M. l. lagotis_ (Reid, 1837); _M. l. nigripes_ (Wood Jones, 1923); _M. l. sagitta_ (Thomas, 1905)|Perameles lagotis
Cercartetus_caudatus|Cercartetus|NA|caudatus|_C. c. caudatus_ (Milne-Edwards, 1877) (synonyms: _adelynhoserae_ (Hoser, 2020), _doriskuenae_ (Hoser, 2020), _jackyhoserae_ (Hoser, 2020), _rosswellingtoni_ (Hoser, 2020)); _C. c. macrurus_ (Mjöberg, 1916) (synonyms: _richardwellsi_ (Hoser, 2020))|Dromicia caudata
Cercartetus_concinnus|Cercartetus|NA|concinnus|_C. c. concinnus_ (Gould, 1845) (synonyms: _neillii_ (Waterhouse, 1846)); _C. c. minor_ Wakefield, 1963|Dromicia concinna
Cercartetus_nana|Cercartetus|NA|nana|_C. n. nana_ (Desmarest, 1817) (synonyms: _gliriformis_ (Bell, 1829)); _C. n. unicolor_ (Krefft, 1863) (synonyms: _britta_ (Wood Jones, 1925))|Phalangista nana
Lagostrophus_fasciatus|Lagostrophus|NA|fasciatus|_L. f. baudinettei_ Helgen & Flannery, 2003; _L. f. fasciatus_ (Péron, 1807) (synonyms: _albipilis_ (Gould, 1842), _elegans_ (Cuvier, 1816), _striatus_ (Lesson, 1842))|Kangurus fasciatus
Dendrolagus_goodfellowi|Dendrolagus|NA|goodfellowi|_D. g. buergersi_ Matschie, 1912 (synonyms: _shawmayeri_ Rothschild & Dollman, 1936); _D. g. goodfellowi_ Thomas, 1908|Dendrolagus goodfellowi
Dendrolagus_inustus|Dendrolagus|NA|inustus|_D. i. finschi_ Matschie, 1916 (synonyms: _keiensis_ Matschie, 1916, _schoedei_ Matschie, 1916); _D. i. inustus_ Müller, 1840 (synonyms: _maximus_ Rothschild & Rothschild, 1898, _sorongensis_ Matschie, 1916)|Dendrolagus inustus
Petrogale_brachyotis|Petrogale|NA|brachyotis|_P. b. brachyotis_ (Gould, 1841) (synonyms: _ordensis_ Hoser, 2020, _pentecostensis_ Hoser, 2020); _P. b. victoriae_ Potter, Close, Taggart, Cooper & Eldridge, 2014|Macropus (Petrogale) brachyotis
Petrogale_concinna|Petrogale|NA|concinna|_P. c. canescens_ (Thomas, 1909); _P. c. concinna_ Gould, 1842; _P. c. monastria_ (Thomas, 1926)|Petrogale concinna
Petrogale_lateralis|Petrogale|NA|lateralis|_P. l. centralis_ Eldridge & Potter, 2020; _P. l. hacketti_ Thomas, 1905; _P. l. kimberleyensis_ Eldridge & Potter, 2020; _P. l. lateralis_ (Gould, 1840); _P. l. pearsoni_ Thomas, 1922|Macropus lateralis
Petrogale_xanthopus|Petrogale|NA|xanthopus|_P. x. celeris_ Le Souef, 1924; _P. x. xanthopus_ Gray, 1855|Petrogale xanthopus
