sci_name|genus|subgenus|specific_epithet|subspecies|original_name_combination
Myotis_fortidens|Myotis|Pizonyx|fortidens|_M. f. fortidens_ Miller & Allen, 1928 (synonyms: _cinnamomeus_ (Miller, 1902)); _M. f. sonoriensis_ Findley & Jones, 1967|Myotis lucifugus fortidens
Myotis_frater|Myotis|Myotis|frater|NA|Myotis frater
Myotis_gomantongensis|Myotis|Myotis|gomantongensis|NA|Myotis gomantongensis
Myotis_goudotii|Myotis|Chrysopteron|goudotii|NA|Vespertilio Goudotii
Myotis_grisescens|Myotis|Pizonyx|grisescens|NA|Myotis grisescens
Myotis_guarani|Myotis|Pizonyx|guarani|NA|Myotis guarani
Myotis_handleyi|Myotis|Pizonyx|handleyi|NA|Myotis handleyi
Myotis_hasseltii|Myotis|Myotis|hasseltii|_M. h. abbotti_ Lyon, 1916; _M. h. continentis_ Shamel, 1942 (synonyms: _berdmorei_ Blyth, 1863); _M. h. hasseltii_ (Temminck, 1840); _M. h. macellus_ (Temminck, 1840)|Vespertilio hasseltii
Myotis_hayesi|Myotis|Myotis|hayesi|NA|Myotis hayesi
Myotis_hermani|Myotis|Chrysopteron|hermani|NA|Myotis hermani
Myotis_himalaicus|Myotis|Myotis|himalaicus|NA|Myotis himalaicus
Myotis_horsfieldii|Myotis|Myotis|horsfieldii|_M. h. deignani_ Shamel, 1942; _M. h. dryas_ Andersen, 1907; _M. h. horsfieldii_ (Temminck, 1840) (synonyms: _lepidus_ (Thomas, 1915)); _M. h. jeannei_ Taylor, 1934; _M. h. peshwa_ (Thomas, 1915)|Vespertilio horsfieldii
Myotis_hoveli|Myotis|Myotis|hoveli|NA|Myotis nattereri hoveli
Myotis_huariorum|Myotis|Pizonyx|huariorum|NA|Myotis huariorum
Myotis_hyrcanicus|Myotis|Myotis|hyrcanicus|NA|Myotis hyrcanicus
Myotis_ikonnikovi|Myotis|Myotis|ikonnikovi|NA|Myotis ikonnikovi
Myotis_indochinensis|Myotis|Myotis|indochinensis|NA|Myotis indochinensis
Myotis_insularum|Myotis|incertae sedis|insularum|NA|Vespertilio insularum
Myotis_izecksohni|Myotis|Pizonyx|izecksohni|NA|Myotis izecksohni
Myotis_kalkoae|Myotis|Myotis|kalkoae|NA|Myotis kalkoae
